EC number	KO
2.4.1.14	K00696
2.4.1.15	K00697
2.4.1.347	K00697
2.4.1.16	K00698
2.4.1.17	K00699
2.4.1.18	K00700
2.4.1.19	K00701
2.4.1.20	K00702
2.4.1.21	K00703
2.4.1.22	K00704
2.4.1.25	K00705
2.4.1.34	K00706
2.4.1.40	K00709
2.4.1.37	K00709
2.4.1.41	K00710
2.4.1.52	K00712
2.4.1.62	K00715
2.4.1.65	K00716
2.4.1.68	K00717
2.4.1.69	K00718
2.4.1.79	K00719
2.4.1.80	K00720
2.4.1.83	K00721
2.4.1.88	K00722
2.4.1.92	K00725
2.4.1.101	K00726
2.4.1.102	K00727
2.4.1.109	K00728
2.4.1.117	K00729
2.4.1.122	K00731
2.4.1.133	K00733
2.4.1.134	K00734
2.4.1.135	K00735
2.4.1.143	K00736
2.4.1.144	K00737
2.4.1.145	K00738
2.4.1.147	K00739
2.4.1.149	K00741
2.4.1.150	K00742
2.4.1.87	K00743
2.4.1.155	K00744
2.4.1.174	K00746
2.4.1.175	K00746
2.4.1.226	K00747
2.4.1.182	K00748
2.4.1.183	K00749
2.4.1.186	K00750
2.4.1.212	K00752
2.4.1.214	K00753
2.4.2.2	K00756
2.4.2.3	K00757
2.4.2.4	K00758
2.4.2.7	K00759
2.4.2.8	K00760
2.4.2.9	K00761
2.4.2.10	K00762
6.3.4.21	K00763
2.4.2.14	K00764
2.4.2.17	K00765
2.4.2.18	K00766
2.4.2.19	K00767
2.4.2.21	K00768
2.4.2.22	K00769
2.4.2.24	K00770
2.4.2.26	K00771
2.4.2.28	K00772
2.4.2.29	K00773
2.4.2.30	K00774
2.4.2.31	K00775
2.4.2.36	K00776
2.4.2.64	K00777
2.4.3.1	K00778
2.4.3.2	K00780
2.4.3.4	K00780
2.4.3.6	K00781
2.1.1.177	K00783
3.1.26.11	K00784
2.5.1.1	K00787
2.5.1.10	K00787
2.5.1.3	K00788
2.5.1.6	K00789
2.5.1.7	K00790
2.5.1.75	K00791
2.5.1.9	K00793
2.5.1.78	K00794
2.5.1.15	K00796
2.5.1.16	K00797
2.5.1.17	K00798
2.5.1.18	K00799
2.5.1.19	K00800
2.5.1.21	K00801
2.5.1.22	K00802
2.5.1.26	K00803
2.5.1.29	K00804
2.5.1.30	K00805
2.5.1.31	K00806
4.4.1.20	K00807
2.5.1.44	K00808
2.5.1.46	K00809
2.6.1.1	K00811
2.6.1.2	K00814
2.6.1.5	K00815
2.6.1.7	K00816
4.4.1.13	K00816
2.6.1.64	K00816
2.6.1.9	K00817
2.6.1.11	K00818
2.6.1.13	K00819
2.6.1.16	K00820
2.6.1.17	K00821
2.6.1.18	K00822
2.6.1.19	K00823
2.6.1.21	K00824
2.6.1.39	K00825
2.6.1.42	K00826
2.6.1.44	K00827
2.6.1.40	K00827
2.6.1.45	K00830
2.6.1.51	K00830
2.6.1.52	K00831
2.6.1.57	K00832
2.6.1.62	K00833
2.6.1.66	K00835
2.6.1.76	K00836
2.6.1.27	K00838
2.6.1.112	K00839
2.6.1.81	K00840
2.7.1.1	K00844
2.7.1.2	K00845
2.7.1.3	K00846
2.7.1.4	K00847
2.7.1.5	K00848
2.7.1.6	K00849
2.7.1.11	K00850
2.7.1.12	K00851
2.7.1.15	K00852
2.7.1.16	K00853
2.7.1.17	K00854
2.7.1.19	K00855
2.7.1.20	K00856
2.7.1.21	K00857
