EC number	KO
3.5.1.10	K01433
3.5.1.11	K01434
3.5.1.12	K01435
3.5.1.15	K01437
3.5.1.16	K01438
3.5.1.18	K01439
3.5.1.19	K01440
3.5.1.23	K01441
3.5.1.24	K01442
3.5.1.25	K01443
3.5.1.26	K01444
3.5.1.28	K01447
3.5.1.32	K01451
3.5.1.41	K01452
3.5.1.46	K01453
3.5.1.49	K01455
3.5.1.52	K01456
3.5.1.54	K01457
3.5.1.68	K01458
3.5.1.77	K01459
3.5.1.78	K01460
6.3.1.8	K01460
3.5.1.82	K01461
3.5.1.88	K01462
3.5.2.2	K01464
3.5.2.3	K01465
3.5.2.5	K01466
3.5.2.6	K01467
3.5.2.7	K01468
3.5.2.9	K01469
3.5.2.10	K01470
3.5.2.12	K01471
3.5.2.14	K01473
3.5.2.20	K01475
3.5.3.1	K01476
3.5.3.4	K01477
3.5.3.6	K01478
3.5.3.8	K01479
3.5.3.11	K01480
3.5.3.15	K01481
3.5.3.18	K01482
4.3.2.3	K01483
3.5.3.23	K01484
3.5.4.1	K01485
3.5.4.21	K01485
3.5.4.2	K01486
3.5.4.3	K01487
3.5.4.4	K01488
3.5.4.5	K01489
3.5.4.6	K01490
3.5.4.12	K01493
3.5.4.13	K01494
3.5.4.16	K01495
3.5.4.19	K01496
3.5.4.25	K01497
3.5.4.26	K01498
3.5.4.27	K01499
3.5.5.1	K01501
3.5.5.7	K01502
3.5.99.7	K01505
3.5.1.30	K01506
3.6.1.1	K01507
3.6.1.5	K01510
3.6.1.6	K01511
3.6.1.7	K01512
3.1.4.1	K01513
3.6.1.9	K01513
3.6.1.11	K01514
3.6.1.13	K01515
3.6.1.15	K01516
3.6.1.16	K01517
3.6.1.53	K01517
3.6.1.17	K01518
3.6.1.66	K01519
3.6.1.23	K01520
3.6.1.26	K01521
3.6.1.29	K01522
3.6.1.31	K01523
3.6.1.40	K01524
3.6.1.41	K01525
3.6.1.42	K01526
3.6.5.5	K01528
3.6.1.73	K01529
7.6.2.1	K01530
7.2.2.14	K01531
7.2.2.21	K01532
7.2.2.9	K01533
7.2.2.12	K01534
7.1.2.1	K01535
7.2.2.3	K01536
7.2.2.10	K01537
7.2.2.13	K01539
7.2.2.19	K01542
7.2.2.6	K01547
7.3.2.7	K01551
3.6.1.58	K01554
3.7.1.2	K01555
3.7.1.3	K01556
3.7.1.5	K01557
3.7.1.28	K01559
3.8.1.2	K01560
3.8.1.3	K01561
1.21.99.4	K01562
3.8.1.5	K01563
3.10.1.1	K01565
4.1.1.1	K01568
4.1.1.2	K01569
7.2.4.2	K01571
4.1.1.4	K01574
4.1.1.5	K01575
4.1.1.7	K01576
4.1.1.8	K01577
4.1.1.9	K01578
4.1.1.11	K01579
4.1.1.15	K01580
4.1.1.17	K01581
4.1.1.18	K01582
4.1.1.19	K01583
4.1.1.20	K01586
4.1.1.21	K01587
6.3.2.6	K01587
5.4.99.18	K01588
6.3.4.18	K01589
4.1.1.22	K01590
4.1.1.23	K01591
4.1.1.25	K01592
4.1.1.28	K01593
4.1.1.105	K01593
4.1.1.31	K01595
4.1.1.32	K01596
4.1.1.33	K01597
4.1.1.36	K01598
4.1.1.37	K01599
4.1.1.39	K01601
7.2.4.3	K01604
4.1.1.44	K01607
4.1.1.47	K01608
4.1.1.48	K01609
4.1.1.49	K01610
4.1.1.50	K01611
4.1.1.61	K01612
4.1.1.65	K01613
7.2.4.5	K01615
2.2.1.5	K01616
4.1.1.71	K01616
4.1.1.77	K01617
4.1.1.107	K01618
4.1.2.4	K01619
4.1.2.48	K01620
4.1.2.9	K01621
4.1.2.22	K01621
4.1.2.13	K01622
4.1.2.14	K01625
4.1.3.42	K01625
2.5.1.54	K01626
2.5.1.55	K01627
4.1.2.17	K01628
4.1.2.19	K01629
4.1.2.20	K01630
4.1.2.21	K01631
4.1.2.25	K01633
5.1.99.8	K01633
1.13.11.81	K01633
4.1.2.27	K01634
4.1.2.40	K01635
4.1.3.1	K01637
2.3.3.9	K01638
4.1.3.3	K01639
4.1.3.4	K01640
2.3.3.10	K01641
2.8.3.10	K01643
4.1.3.34	K01644
2.3.3.1	K01647
2.3.3.8	K01648
2.3.3.13	K01649
2.2.1.6	K01652
2.5.1.56	K01654
2.3.3.14	K01655
4.1.3.27	K01656
2.3.3.5	K01659
4.1.3.36	K01661
2.2.1.7	K01662
4.3.2.10	K01663
2.6.1.85	K01664
4.1.3.39	K01666
4.1.99.1	K01667
4.1.99.2	K01668
4.1.99.3	K01669
4.1.2.57	K01671
4.2.1.1	K01672
4.2.1.2	K01675
4.2.1.3	K01681
4.2.1.99	K01682
4.2.1.5	K01683
4.2.1.6	K01684
4.2.1.7	K01685
4.2.1.8	K01686
4.2.1.9	K01687
4.2.1.11	K01689
4.2.1.12	K01690
4.2.1.17	K01692
4.2.1.20	K01694
4.2.1.22	K01697
4.2.1.24	K01698
4.2.1.28	K01699
4.2.1.33	K01702
4.2.1.35	K01703
4.2.1.36	K01705
4.2.1.40	K01706
4.2.1.41	K01707
4.2.1.42	K01708
4.2.1.45	K01709
4.2.1.46	K01710
4.2.1.47	K01711
4.2.1.49	K01712
4.2.1.51	K01713
4.2.1.91	K01713
4.3.3.7	K01714
4.2.1.59	K01716
5.3.3.14	K01716
4.2.1.75	K01719
4.2.1.79	K01720
4.2.1.84	K01721
4.2.1.92	K01723
4.2.1.96	K01724
4.2.1.104	K01725
4.2.2.1	K01727
4.2.2.2	K01728
4.2.2.3	K01729
4.2.2.6	K01730
4.2.2.9	K01731
4.2.2.10	K01732
4.2.3.1	K01733
4.2.3.3	K01734
4.2.3.4	K01735
4.2.3.5	K01736
4.2.3.12	K01737
4.1.2.50	K01737
2.5.1.47	K01738
2.5.1.48	K01739
2.5.1.49	K01740
4.2.99.18	K01741
4.2.99.24	K01742
4.3.1.1	K01744
4.3.1.3	K01745
4.3.1.4	K01746
2.5.1.61	K01749
4.3.1.12	K01750
4.3.1.15	K01751
4.3.1.17	K01752
4.3.1.18	K01753
4.3.1.19	K01754
4.3.2.1	K01755
4.3.2.2	K01756
4.3.3.2	K01757
4.4.1.1	K01758
4.4.1.5	K01759
4.4.1.11	K01761
4.4.1.14	K01762
4.4.1.16	K01763
4.4.1.17	K01764
2.8.4.6	K01767
4.6.1.1	K01768
4.6.1.2	K01769
4.6.1.12	K01770
4.6.1.13	K01771
4.98.1.1	K01772
4.99.1.9	K01772
5.1.1.1	K01775
5.1.1.3	K01776
5.1.1.4	K01777
5.1.1.7	K01778
5.1.1.13	K01779
5.1.1.24	K01780
5.1.2.2	K01781
5.1.2.3	K01782
5.1.3.1	K01783
5.1.3.2	K01784
5.1.3.3	K01785
5.1.3.8	K01787
5.1.3.9	K01788
5.1.3.13	K01790
5.1.3.14	K01791
5.1.3.15	K01792
5.1.3.17	K01793
5.1.3.19	K01794
5.1.3.37	K01795
5.1.99.4	K01796
6.3.2.10	K01798
5.2.1.1	K01799
5.2.1.2	K01800
5.2.1.4	K01801
5.2.1.8	K01802
5.3.1.1	K01803
5.3.1.4	K01804
5.3.1.5	K01805
5.3.1.6	K01807
5.3.1.8	K01809
5.3.1.9	K01810
3.2.1.177	K01811
5.3.1.12	K01812
5.3.1.14	K01813
5.3.1.16	K01814
5.3.1.17	K01815
5.3.1.22	K01816
5.3.1.24	K01817
5.3.1.25	K01818
5.3.1.3	K01818
5.3.1.26	K01819
5.3.2.6	K01821
5.3.3.2	K01823
5.3.3.5	K01824
5.3.3.8	K01825
5.3.3.10	K01826
5.3.3.12	K01827
5.3.99.2	K01830
5.3.99.4	K01831
5.3.99.5	K01832
6.3.1.9	K01833
5.4.2.11	K01834
5.4.2.2	K01835
5.4.2.3	K01836
5.4.2.4	K01837
5.4.2.6	K01838
5.4.2.7	K01839
5.4.2.8	K01840
5.4.2.9	K01841
5.4.3.2	K01843
5.4.3.3	K01844
5.4.3.8	K01845
5.4.99.1	K01846
5.4.99.2	K01847
5.4.99.5	K01850
5.4.4.2	K01851
5.4.99.7	K01852
5.4.99.8	K01853
5.4.99.9	K01854
5.4.99.45	K01855
5.5.1.1	K01856
5.5.1.2	K01857
5.5.1.4	K01858
5.5.1.6	K01859
5.5.1.7	K01860
5.5.1.35	K01861
5.4.4.1	K01865
6.1.1.1	K01866
6.1.1.2	K01867
6.1.1.3	K01868
6.1.1.4	K01869
6.1.1.5	K01870
6.1.1.7	K01872
6.1.1.9	K01873
6.1.1.10	K01874
6.1.1.11	K01875
6.1.1.12	K01876
6.1.1.14	K01878
6.1.1.15	K01881
6.1.1.16	K01883
6.1.1.17	K01885
6.1.1.18	K01886
6.1.1.19	K01887
6.1.1.20	K01889
6.1.1.21	K01892
6.1.1.22	K01893
6.2.1.1	K01895
6.2.1.2	K01896
6.2.1.3	K01897
6.2.1.4	K01899
6.2.1.5	K01899
6.2.1.12	K01904
6.2.1.13	K01905
6.2.1.14	K01906
6.2.1.16	K01907
6.2.1.17	K01908
6.2.1.20	K01909
6.2.1.22	K01910
6.2.1.26	K01911
6.2.1.30	K01912
6.3.1.1	K01914
6.3.1.2	K01915
6.3.1.5	K01916
6.3.2.1	K01918
6.3.2.2	K01919
6.3.2.3	K01920
6.3.2.4	K01921
6.3.2.51	K01922
6.3.2.8	K01924
6.3.2.9	K01925
6.3.2.13	K01928
6.3.2.17	K01930
2.3.2.27	K01931
6.3.3.1	K01933
6.3.3.3	K01935
6.3.4.2	K01937
6.3.4.4	K01939
6.3.4.5	K01940
6.3.4.6	K01941
6.3.4.9	K01942
6.3.4.10	K01942
6.3.4.11	K01942
6.3.4.15	K01942
6.3.4.13	K01945
6.4.1.2	K01946
6.3.4.14	K01946
2.1.3.15	K01946
6.3.4.16	K01948
6.3.4.12	K01949
6.3.5.1	K01950
6.3.5.2	K01951
6.3.5.3	K01952
6.3.5.4	K01953
6.3.5.5	K01954
6.4.1.1	K01958
6.4.1.3	K01964
6.4.1.4	K01968
6.5.1.1	K01971
6.5.1.2	K01972
6.5.1.3	K01973
6.5.1.4	K01974
3.1.4.58	K01975
2.4.1.228	K01988
7.6.2.9	K02000
7.2.2.7	K02010
7.3.2.5	K02017
7.4.2.1	K02028
7.3.2.1	K02036
7.3.2.2	K02041
7.3.2.3	K02045
7.6.2.15	K02062
3.5.3.9	K02083
3.1.3.23	K02101
7.1.2.2	K02111
7.2.2.1	K02111
2.1.1.197	K02169
3.1.1.85	K02170
2.7.11.1	K02178
6.2.1.48	K02182
3.4.22.55	K02186
3.4.22.56	K02187
2.1.1.195	K02188
3.7.1.12	K02189
4.99.1.3	K02190
7.6.2.5	K02193
2.3.2.23	K02207
5.6.2.3	K02209
6.3.5.9	K02224
6.3.5.11	K02224
3.1.3.73	K02226
6.3.1.10	K02227
2.1.1.152	K02228
1.14.13.83	K02229
6.6.1.2	K02230
2.7.1.156	K02231
2.7.7.62	K02231
6.3.5.10	K02232
2.7.8.26	K02233
3.4.23.43	K02236
2.5.1.141	K02257
1.17.99.9	K02259
7.4.2.8	K02283
4.4.1.32	K02288
2.5.1.32	K02291
1.3.5.5	K02293
7.1.1.3	K02297
1.3.1.76	K02302
4.99.1.4	K02302
2.7.7.101	K02316
2.7.7.7	K02319
6.2.1.71	K02363
6.2.1.72	K02364
3.4.22.49	K02365
2.4.1.224	K02366
2.4.1.225	K02366
2.4.1.223	K02369
1.1.1.271	K02377
2.1.1.166	K02427
5.1.3.29	K02431
6.3.5.6	K02433
6.3.5.7	K02433
3.2.1.196	K02438
3.4.21.105	K02441
5.3.1.13	K02467
5.6.2.2	K02469
1.1.1.336	K02472
5.1.3.7	K02473
1.1.1.136	K02474
2.7.7.65	K02488
1.2.1.70	K02492
2.1.1.297	K02493
1.3.98.3	K02495
4.1.2.52	K02510
2.1.1.320	K02516
2.3.1.241	K02517
2.5.1.90	K02523
2.4.99.12	K02527
2.4.99.13	K02527
2.4.99.14	K02527
2.4.99.15	K02527
2.1.1.182	K02528
3.5.1.108	K02535
2.3.1.191	K02536
2.5.1.74	K02548
4.2.1.113	K02549
2.2.1.9	K02551
4.2.1.80	K02554
6.3.2.45	K02558
2.3.1.243	K02560
2.4.1.227	K02563
3.5.99.6	K02564
1.9.6.1	K02567
2.8.2.8	K02576
1.14.13.149	K02609
2.3.1.223	K02615
2.3.1.174	K02615
3.3.2.12	K02618
1.2.1.91	K02618
4.1.3.38	K02619
4.4.1.31	K02631
7.1.1.6	K02636
2.7.11.13	K02677
2.7.7.102	K02683
1.10.3.9	K02703
3.4.25.1	K02725
2.7.1.208	K02750
2.7.1.196	K02759
2.7.1.205	K02759
2.7.1.202	K02768
2.7.1.200	K02773
2.7.1.199	K02778
2.7.1.198	K02781
2.7.1.207	K02786
2.7.1.191	K02793
2.7.1.197	K02798
2.7.1.193	K02803
2.6.1.59	K02805
2.7.1.211	K02810
2.7.1.206	K02812
2.7.1.201	K02819
2.7.1.194	K02821
7.1.1.5	K02826
2.4.99.23	K02841
2.4.99.24	K02843
2.7.1.235	K02848
2.4.99.25	K02849
2.7.8.33	K02851
2.7.8.35	K02851
2.4.1.180	K02852
4.1.99.12	K02858
5.1.3.4	K03077
4.1.1.85	K03078
5.1.3.22	K03079
2.7.11.26	K03083
3.1.3.86	K03084
3.4.21.89	K03100
3.4.23.36	K03101
3.1.3.62	K03103
3.1.3.80	K03103
3.6.5.4	K03106
1.14.11.17	K03119
2.4.2.60	K03146
4.1.99.17	K03147
2.7.7.73	K03148
2.8.1.10	K03149
4.1.99.19	K03150
2.8.1.4	K03151
3.5.1.124	K03152
1.4.3.19	K03153
5.6.2.1	K03163
2.7.10.1	K03176
5.4.99.25	K03177
6.2.1.45	K03178
2.5.1.39	K03179
4.1.3.40	K03181
4.1.1.98	K03182
2.1.1.163	K03183
2.1.1.201	K03183
1.14.99.60	K03184
2.5.1.129	K03186
1.7.1.6	K03206
2.1.1.189	K03212
2.1.1.190	K03215
2.1.1.207	K03216
2.1.1.185	K03218
1.14.12.3	K03268
1.14.12.11	K03268
1.14.12.26	K03268
3.6.1.54	K03269
3.1.3.45	K03270
5.3.1.28	K03271
2.7.1.167	K03272
2.7.7.70	K03272
3.1.3.82	K03273
3.1.3.83	K03273
5.1.3.20	K03274
2.4.1.44	K03278
2.4.1.58	K03279
2.4.1.56	K03280
1.1.1.10	K03331
3.2.1.80	K03332
1.1.3.6	K03333
1.4.3.2	K03334
4.2.1.44	K03335
3.7.1.22	K03336
5.3.1.30	K03337
2.7.1.92	K03338
4.1.2.29	K03339
1.4.1.16	K03340
2.9.1.2	K03341
1.4.3.10	K03343
3.4.22.68	K03345
1.1.1.76	K03366
1.1.1.304	K03366
6.1.1.13	K03367
2.4.3.9	K03370
2.4.3.8	K03371
2.4.3.7	K03373
2.3.1.45	K03377
1.1.1.218	K03378
1.14.13.22	K03379
1.14.13.7	K03380
1.13.11.1	K03381
3.5.4.43	K03382
3.5.2.15	K03383
1.7.2.2	K03385
1.11.1.24	K03386
1.8.7.3	K03388
1.8.98.4	K03388
1.8.98.5	K03388
1.14.13.50	K03391
4.1.1.45	K03392
1.14.16.7	K03393
2.1.1.130	K03394
2.1.1.151	K03394
2.3.1.60	K03395
4.4.1.22	K03396
6.3.2.20	K03397
1.2.1.50	K03400
6.6.1.1	K03403
3.5.1.44	K03411
3.1.1.61	K03412
2.1.3.1	K03416
4.1.3.30	K03417
3.5.1.56	K03418
1.8.1.13	K03423
3.6.1.22	K03426
2.1.1.11	K03428
2.4.1.315	K03429
2.6.1.37	K03430
5.4.2.10	K03431
3.5.1.89	K03434
2.1.1.199	K03438
2.1.1.33	K03439
2.4.2.12	K03462
5.5.1.30	K03463
5.3.3.4	K03464
2.1.1.148	K03465
3.1.26.4	K03469
1.2.1.72	K03472
1.1.1.290	K03473
2.6.99.2	K03474
3.5.1.105	K03478
2.4.3.3	K03479
2.1.1.176	K03500
2.1.1.170	K03501
2.5.1.72	K03517
1.2.5.3	K03518
1.17.7.1	K03526
1.17.7.3	K03526
1.17.7.4	K03527
5.1.3.32	K03534
5.6.2.4	K03550
3.6.1.55	K03574
3.2.2.31	K03575
3.6.4.13	K03578
3.1.11.5	K03581
1.16.3.1	K03594
3.1.11.6	K03601
2.7.8.31	K03606
1.8.5.9	K03611
7.1.1.11	K03614
7.2.1.2	K03614
2.3.1.274	K03621
2.8.1.12	K03635
4.6.1.17	K03637
2.7.7.75	K03638
4.1.99.22	K03639
2.8.1.8	K03644
3.2.2.27	K03648
3.2.2.28	K03649
3.1.4.53	K03651
2.4.1.152	K03663
1.8.1.8	K03672
1.8.4.15	K03673
3.1.13.5	K03684
3.1.26.3	K03685
2.4.1.221	K03691
2.4.1.213	K03692
2.4.2.38	K03714
2.4.1.46	K03715
4.1.99.14	K03716
2.4.1.216	K03731
2.7.1.180	K03734
4.3.1.7	K03735
1.2.7.5	K03738
1.20.4.4	K03741
3.5.1.42	K03742
2.10.1.1	K03750
2.7.7.77	K03752
2.7.8.43	K03760
2.4.1.206	K03766
1.1.5.12	K03777
1.1.1.28	K03778
4.2.1.32	K03779
1.11.1.6	K03781
1.11.1.21	K03782
2.4.2.1	K03783
4.2.1.10	K03785
2.3.1.266	K03789
2.3.1.267	K03790
1.5.1.33	K03793
3.4.21.102	K03797
6.3.1.20	K03800
2.3.1.181	K03801
6.3.2.29	K03802
6.3.2.30	K03802
2.4.1.129	K03814
2.3.1.269	K03820
2.3.1.304	K03821
2.3.1.183	K03823
2.3.1.53	K03825
2.4.1.142	K03842
2.4.1.132	K03843
2.4.1.257	K03843
2.4.1.131	K03844
2.4.1.258	K03845
2.4.1.259	K03846
2.4.1.261	K03846
2.4.1.260	K03847
2.4.1.267	K03848
2.4.1.265	K03849
2.4.1.256	K03850
2.6.1.77	K03851
2.3.3.15	K03852
3.4.22.53	K03853
2.4.1.198	K03857
1.14.13.82	K03862
2.3.2.32	K03868
2.3.2.26	K03874
1.6.5.9	K03885
6.3.2.38	K03894
6.3.2.39	K03895
2.3.1.102	K03896
1.14.13.59	K03897
2.6.1.36	K03918
1.14.11.33	K03919
1.14.19.2	K03921
1.14.19.11	K03921
1.14.19.26	K03921
1.6.5.10	K03923
3.1.1.84	K03927
3.1.1.56	K03927
5.3.4.1	K03981
3.4.21.104	K03993
2.5.1.154	K04032
1.21.98.3	K04034
1.14.13.81	K04035
1.3.7.7	K04037
2.5.1.62	K04040
2.5.1.133	K04040
2.3.1.157	K04042
1.11.1.28	K04063
1.97.1.4	K04068
6.3.4.19	K04075
5.6.1.7	K04077
1.8.4.16	K04084
1.14.14.5	K04091
1.14.14.34	K04091
2.1.1.74	K04094
2.7.7.108	K04095
1.13.11.37	K04098
1.13.11.57	K04099
1.13.11.8	K04100
4.1.1.55	K04102
4.1.1.74	K04103
6.2.1.27	K04105
6.2.1.25	K04105
1.1.7.1	K04107
1.3.7.8	K04112
1.3.1.62	K04118
1.1.1.51	K04119
1.1.1.188	K04119
5.5.1.13	K04120
4.2.3.19	K04121
1.14.14.86	K04122
1.14.14.107	K04123
1.14.11.15	K04124
1.14.11.13	K04125
1.21.3.1	K04126
5.1.1.17	K04127
2.1.3.7	K04128
1.8.1.12	K04283
2.7.1.65	K04339
2.1.4.2	K04340
2.4.2.27	K04341
3.1.3.39	K04342
2.7.1.72	K04343
2.7.11.11	K04345
2.7.12.2	K04368
2.7.11.24	K04371
2.7.11.30	K04388
3.4.22.57	K04394
3.4.22.64	K04394
3.4.22.58	K04395
3.4.22.59	K04396
3.4.22.60	K04397
3.4.22.61	K04398
3.4.22.62	K04399
3.4.22.63	K04400
2.7.11.25	K04415
2.7.10.2	K04447
2.1.1.367	K04462
2.7.11.10	K04467
2.1.1.90	K04480
2.8.1.7	K04487
1.1.1.428	K04496
3.4.23.46	K04521
2.3.2.31	K04556
1.7.2.5	K04561
6.1.1.6	K04566
1.1.3.9	K04618
2.4.1.47	K04628
1.1.1.102	K04708
2.3.1.297	K04709
2.3.1.299	K04710
1.14.19.17	K04712
1.14.18.5	K04712
2.7.8.27	K04714
2.7.1.138	K04715
2.7.1.91	K04718
1.13.11.79	K04719
4.1.1.81	K04720
3.4.21.107	K04771
6.2.1.66	K04780
4.2.99.21	K04781
4.3.1.2	K04835
1.5.1.28	K04940
5.6.1.6	K05031
1.1.1.65	K05275
1.14.20.4	K05277
1.14.20.6	K05278
2.1.1.76	K05279
1.14.14.82	K05280
1.3.1.45	K05281
1.14.11.12	K05282
1.18.1.1	K05297
1.2.1.13	K05298
1.17.1.10	K05299
2.5.1.57	K05304
2.5.1.132	K05304
2.7.1.52	K05305
3.11.1.1	K05306
3.6.1.28	K05307
4.2.1.140	K05308
5.3.99.3	K05309
2.4.1.4	K05341
2.4.1.64	K05342
5.4.99.16	K05343
4.6.1.25	K05345
1.1.1.9	K05351
1.1.1.405	K05352
2.1.1.53	K05353
1.1.1.236	K05354
2.5.1.82	K05355
2.5.1.83	K05355
2.5.1.84	K05356
2.5.1.85	K05356
1.17.4.4	K05357
1.1.5.8	K05358
1.8.4.2	K05360
1.11.1.12	K05361
6.3.2.7	K05362
2.3.2.10	K05363
1.5.1.41	K05368
1.3.7.2	K05369
1.3.7.3	K05370
1.3.7.5	K05371
3.8.1.8	K05394
4.4.1.15	K05396
3.4.24.19	K05502
3.2.2.24	K05521
4.2.1.130	K05523
1.14.14.84	K05525
3.5.1.96	K05526
2.4.1.232	K05528
1.3.1.88	K05542
1.3.1.91	K05543
1.3.1.89	K05544
1.3.1.90	K05545
3.2.1.207	K05546
1.14.12.10	K05549
2.3.1.260	K05551
2.3.1.235	K05551
3.5.1.38	K05597
1.14.12.1	K05599
1.7.99.1	K05601
3.5.3.13	K05603
3.4.13.20	K05604
3.1.2.4	K05605
5.1.99.1	K05606
4.2.1.18	K05607
7.4.2.14	K05653
7.6.2.2	K05658
7.6.2.3	K05665
7.6.2.4	K05675
7.6.2.8	K05678
1.14.12.19	K05708
1.3.1.87	K05711
1.14.13.127	K05712
1.13.11.16	K05713
3.7.1.14	K05714
2.7.2.16	K05715
6.5.1.9	K05716
2.7.4.23	K05774
2.7.8.37	K05780
1.3.1.25	K05783
1.17.9.1	K05797
2.5.1.25	K05812
7.6.2.10	K05816
2.6.1.58	K05821
2.6.1.28	K05821
2.3.1.89	K05822
3.5.1.47	K05823
1.1.1.87	K05824
6.3.2.43	K05827
2.7.2.17	K05828
2.7.2.19	K05828
1.2.1.103	K05829
1.2.1.106	K05829
2.6.1.118	K05830
2.6.1.124	K05830
3.5.1.130	K05831
3.5.1.132	K05831
2.4.1.173	K05841
2.7.1.121	K05878
1.1.1.91	K05882
1.1.1.337	K05884
1.1.1.276	K05886
1.1.1.282	K05887
1.1.2.6	K05889
1.3.1.42	K05894
1.3.1.54	K05895
1.3.1.106	K05895
1.3.3.16	K05897
1.3.99.4	K05898
1.5.1.30	K05901
1.8.3.5	K05906
1.8.3.6	K05906
1.8.4.9	K05907
1.8.5.2	K05908
1.11.1.1	K05910
1.13.11.41	K05913
1.13.12.7	K05914
1.13.11.89	K05915
1.13.11.78	K05915
1.14.12.17	K05916
1.14.14.154	K05917
1.14.15.36	K05917
1.14.19.55	K05918
1.15.1.2	K05919
4.1.1.68	K05921
1.12.5.1	K05922
2.1.1.348	K05925
2.1.1.230	K05926
2.1.1.95	K05928
2.1.1.103	K05929
2.1.1.319	K05931
1.14.17.4	K05933
2.1.1.131	K05934
2.1.1.272	K05934
2.1.1.133	K05936
2.1.1.271	K05936
2.3.1.40	K05939
2.3.1.137	K05940
2.3.2.15	K05941
2.3.3.3	K05942
2.4.1.187	K05946
2.4.1.217	K05947
2.4.1.222	K05948
2.4.2.37	K05951
2.5.1.43	K05953
2.5.1.58	K05954
2.5.1.59	K05955
2.5.1.60	K05956
2.6.1.50	K05957
2.7.1.145	K05961
2.7.7.61	K05964
2.4.2.52	K05966
3.1.1.53	K05970
3.1.1.72	K05972
3.1.1.75	K05973
3.13.1.3	K05977
3.1.3.69	K05978
3.1.3.71	K05979
3.1.21.7	K05982
3.1.26.8	K05985
3.1.30.1	K05986
3.2.1.11	K05988
3.2.1.40	K05989
3.2.1.123	K05991
3.4.11.10	K05994
3.4.13.21	K05995
3.4.17.18	K05996
3.4.21.100	K05998
3.4.21.101	K05999
3.4.22.2	K06000
3.4.23.1	K06002
3.4.23.18	K06004
3.4.23.24	K06005
3.4.23.38	K06007
3.4.23.39	K06008
3.4.23.41	K06009
3.4.24.69	K06011
3.4.24.78	K06012
3.4.24.84	K06013
3.5.1.81	K06015
3.5.1.87	K06016
3.6.1.10	K06018
3.6.4.6	K06027
4.1.1.76	K06033
4.1.1.79	K06034
4.2.1.69	K06035
4.6.1.14	K06038
5.4.99.61	K06042
5.4.99.60	K06042
5.4.99.15	K06044
5.4.99.17	K06045
4.2.1.129	K06045
6.2.1.19	K06046
6.3.2.25	K06047
3.4.24.86	K06059
3.5.1.98	K06067
1.14.99.29	K06072
2.1.1.354	K06101
3.2.1.99	K06113
3.1.3.21	K06116
3.13.1.1	K06118
4.2.1.30	K06120
1.1.1.101	K06123
3.1.3.75	K06124
1.3.3.11	K06137
1.21.98.4	K06139
1.1.99.3	K06151
3.6.1.63	K06162
4.7.1.1	K06163
3.1.4.55	K06167
2.8.4.3	K06168
1.14.99.69	K06169
5.4.99.12	K06173
5.4.99.26	K06175
5.4.99.27	K06176
5.4.99.28	K06177
5.4.99.29	K06177
5.4.99.22	K06178
5.4.99.24	K06179
5.4.99.23	K06180
5.4.99.20	K06181
5.4.99.21	K06182
5.4.99.19	K06183
2.7.1.22	K06211
4.3.3.6	K06215
1.1.1.346	K06221
1.12.99.6	K06281
1.16.3.3	K06324
3.4.21.116	K06399
2.1.1.226	K06442
2.1.1.227	K06442
5.5.1.19	K06443
5.5.1.18	K06444
1.2.1.71	K06447
5.3.99.11	K06606
2.4.1.67	K06611
2.4.1.82	K06617
2.7.11.21	K06631
3.4.24.81	K06704
1.14.11.66	K06709
1.14.11.69	K06709
2.3.1.178	K06718
4.2.1.108	K06720
5.4.99.62	K06726
7.3.2.6	K06857
7.5.2.5	K06861
6.3.4.23	K06863
4.4.1.37	K06864
2.5.1.73	K06868
4.1.99.13	K06876
1.7.1.13	K06879
3.1.13.3	K06881
1.14.11.61	K06892
3.1.3.90	K06896
2.5.1.105	K06897
2.5.1.143	K06898
1.13.11.24	K06911
6.3.4.24	K06914
2.9.1.3	K06917
6.3.4.20	K06920
6.3.1.14	K06927
6.3.4.22	K06932
1.21.98.5	K06937
2.1.1.192	K06941
3.1.3.100	K06949
3.1.3.89	K06952
2.3.1.193	K06957
3.2.2.10	K06966
2.1.1.217	K06967
2.1.1.186	K06968
2.1.1.191	K06969
2.1.1.181	K06970
2.7.4.26	K06981
2.7.1.169	K06982
2.4.2.54	K06984
1.5.1.40	K06988
1.4.1.21	K06989
5.3.3.17	K06998
1.3.1.114	K07007
3.5.1.118	K07008
6.3.5.13	K07009
3.1.3.24	K07024
3.1.3.70	K07026
2.7.2.18	K07030
2.7.1.168	K07031
3.1.1.120	K07046
3.5.1.91	K07047
3.1.3.97	K07053
2.5.1.114	K07055
2.1.1.198	K07056
2.5.1.128	K07057
2.7.7.85	K07067
2.5.1.131	K07072
2.7.1.221	K07102
4.2.1.126	K07106
2.1.1.266	K07115
3.5.1.97	K07116
1.3.1.48	K07119
3.5.2.17	K07127
2.7.7.76	K07141
2.7.4.31	K07144
1.14.99.48	K07145
2.4.99.18	K07151
4.4.1.21	K07173
3.1.4.52	K07181
3.1.1.79	K07188
3.1.1.108	K07214
1.14.99.58	K07215
1.16.1.9	K07229
4.3.2.7	K07232
1.1.1.93	K07246
4.1.1.73	K07246
1.1.1.83	K07246
1.2.1.22	K07248
1.2.1.21	K07248
1.2.1.36	K07249
2.6.1.22	K07250
2.6.1.48	K07250
2.7.1.89	K07251
3.6.1.43	K07252
5.3.2.1	K07253
